MIN_ELAPSED,MIN_ENTRY,MAX_ENTRY,MOVE_MODE,MIN_MOVE,MIN_SIGMA,TIER_ENTRY,MIN_MOVE_HIGH,MIN_CONF,KELLY_FRAC,MAX_PER_WINDOW,MAX_SAME_DIR,trades,wins,losses,winrate,pf,pnl,gross_win,gross_loss,final,max_dd,avg_entry,exp_per_trade,score
0.65,0.5,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,99,99,217,170,47,0.783410138248848,2.958261688770954,2300.9574843058704,3475.957484305871,-1175.0,2800.9574843058704,0.3446580799052186,0.5548847926267282,0.4241396284434784,757.8276835875565
0.75,0.5,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,99,225,175,50,0.7777777777777778,2.6150954868514265,2018.8693585642832,3268.869358564283,-1250.0,2518.869358564283,0.27321883434712524,0.5887244444444444,0.35891010818920593,750.2748468941862
0.75,0.5,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,3,223,173,50,0.7757847533632287,2.5803291317112396,1975.4114146390493,3225.4114146390493,-1250.0,2475.4114146390493,0.27321883434712524,0.5892062780269058,0.35433388603391014,732.2433542596543
0.65,0.45,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,99,3,207,158,49,0.7632850241545893,2.651727355140963,2023.366010047679,3248.3660100476795,-1225.0,2523.366010047679,0.282793374396384,0.5528019323671498,0.3909886009753969,724.6735076250319
0.65,0.45,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,99,249,180,69,0.7228915662650602,2.1550341179124923,1992.4338533990485,3717.433853399049,-1725.0,2492.4338533990485,0.25736612442104495,0.5501124497991968,0.3200696953251484,709.7013180603593
0.65,0.45,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,3,247,178,69,0.7206477732793523,2.1298411069413423,1948.9759094738147,3673.975909473815,-1725.0,2448.9759094738147,0.25736612442104495,0.5502348178137653,0.3156236290645854,692.0668732762298
0.75,0.5,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,99,3,182,148,34,0.8131868131868132,3.2974607140979253,1952.8416069832365,2802.8416069832365,-850.0,2452.8416069832365,0.32413047395851363,0.5831593406593407,0.4291959575787333,691.4913573966043
0.75,0.45,0.7,pct,0.001,-,0.45,0.0008,0.6,0.15,99,3,185,149,36,0.8054054054054054,3.1426073972092077,1928.3466574882868,2828.346657488287,-900.0,2428.346657488287,0.3239311670956832,0.5807027027027027,0.41693981783530526,676.5187667433236
0.75,0.45,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,99,239,181,58,0.7573221757322176,2.370550512056757,1987.298242482298,3437.298242482298,-1450.0,2487.298242482298,0.328707503660752,0.5811841004184102,0.33260221631502895,650.1665432472847
0.65,0.5,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,99,445,324,121,0.7280898876404495,1.9165341279790522,2772.515737136629,5797.515737136633,-3025.0,3272.515737136629,0.5392563671143861,0.5965797752808989,0.2492148977201464,639.4122225816097
0.65,0.45,0.62,sigma,-,1.0,0.45,0.0008,0.6,0.15,99,99,30,30,0,1.0,99,638.134467080708,638.1344670807073,-0.0,1138.134467080708,0.0,0.5403333333333333,0.8508459561076106,638.134467080708
0.65,0.45,0.7,sigma,-,1.0,0.45,0.0008,0.6,0.15,99,99,30,30,0,1.0,99,638.134467080708,638.1344670807073,-0.0,1138.134467080708,0.0,0.5403333333333333,0.8508459561076106,638.134467080708
0.65,0.5,0.62,sigma,-,1.0,0.45,0.0008,0.6,0.15,99,99,30,30,0,1.0,99,638.134467080708,638.1344670807073,-0.0,1138.134467080708,0.0,0.5403333333333333,0.8508459561076106,638.134467080708
0.65,0.5,0.7,sigma,-,1.0,0.45,0.0008,0.6,0.15,99,99,30,30,0,1.0,99,638.134467080708,638.1344670807073,-0.0,1138.134467080708,0.0,0.5403333333333333,0.8508459561076106,638.134467080708
